short_name,month,quantity_tons,product
SOCIETE MINIERE DE KASONTA,March,263.6,Copper
SOCIETE MINIERE DE KASONTA,April,201.1,Copper
SOCIETE MINIERE DE KASONTA,May,330,Copper
SOCIETE MINIERE DE KASONTA,June,382.4,Copper
SOCIETE MINIERE DE KASONTA,July,455.8,Copper
SOCIETE MINIERE DE KASONTA,August,253.7,Copper
SOMIKA,June,49.6,Cobalt
SOMIKA,January,4162,Copper
SOMIKA,February,3244,Copper
SOMIKA,March,3520,Copper
SOMIKA,April,2070,Copper
SOMIKA,May,4829.7,Copper
SOMIKA,June,3913.2,Copper
SOMIKA,July,2472,Copper
SOMIKA,August,5354.3,Copper
SOMIKA,September,2568,Copper
SOMIKA,October,4312,Copper
SOMIKA,November,2484,Copper
SOMIKA,December,47507.1,Copper
STL,January,191.7,Cobalt
STL,February,47.9,Cobalt
STL,March,277.5,Cobalt
STL,April,310,Cobalt
STL,May,297.8,Cobalt
STL,June,234.8,Cobalt
STL,July,271.3,Cobalt
STL,August,279.1,Cobalt
STL,September,62.8,Cobalt
STL,October,145,Cobalt
STL,November,86.4,Cobalt
STL,December,153,Cobalt
STL,January,221.2,Copper
STL,February,55.3,Copper
STL,March,320.2,Copper
STL,April,357.6,Copper
STL,May,343.6,Copper
STL,June,270.9,Copper
STL,July,313,Copper
STL,August,322,Copper
STL,September,72.5,Copper
STL,October,167.3,Copper
STL,November,99.7,Copper
STL,December,176.5,Copper
TCC,January,136.4,Cobalt
TCC,February,83.6,Cobalt
TCC,March,239.4,Cobalt
TCC,April,216.2,Cobalt
TCC,May,53.1,Cobalt
TCC,June,201.6,Cobalt
TCC,July,105.1,Cobalt
TCC,August,158.3,Cobalt
TCC,September,103.5,Cobalt
TCC,October,47.9,Cobalt
TCC,November,171.1,Cobalt
TCC,December,95.3,Cobalt
TCC,January,2017.9,Copper
TCC,February,1814.4,Copper
TCC,March,3334.1,Copper
TCC,April,4136.6,Copper
TCC,May,4947.1,Copper
TCC,June,3368.4,Copper
TCC,July,7192.8,Copper
TCC,August,3050.2,Copper
TCC,September,4719.2,Copper
TCC,October,5321.9,Copper
TCC,November,5042,Copper
TCC,December,2296.5,Copper
TFM,May,1179.1,Cobalt
TFM,June,2425.1,Cobalt
TFM,July,582.3,Cobalt
TFM,August,3849.5,Cobalt
TFM,September,4038.7,Cobalt
TFM,October,6467,Cobalt
TFM,November,2303.3,Cobalt
TFM,December,1968.3,Cobalt
TFM,May,82588.3,Copper
TFM,June,54147.2,Copper
TFM,July,14865,Copper
TFM,August,57916.5,Copper
TFM,September,39505,Copper
TFM,October,42362.9,Copper
TFM,November,30139.2,Copper
TFM,December,39062.1,Copper
THOMAS,January,288.2,Cobalt
THOMAS,March,607.3,Cobalt
THOMAS,April,482.5,Cobalt
THOMAS,May,193.7,Cobalt
THOMAS,June,183.3,Cobalt
THOMAS,July,118.5,Cobalt
THOMAS,August,131.5,Cobalt
THOMAS,September,107.8,Cobalt
THOMAS,October,86.1,Cobalt
THOMAS,November,87.3,Cobalt
THOMAS,December,525.3,Cobalt
THOMAS,January,2080.7,Copper
THOMAS,February,1898.8,Copper
THOMAS,March,2199.8,Copper
THOMAS,April,2104.5,Copper
THOMAS,May,2597.6,Copper
THOMAS,June,3298.8,Copper
THOMAS,July,2412.2,Copper
THOMAS,August,2080.5,Copper
THOMAS,September,2021.9,Copper
THOMAS,October,3151.4,Copper
THOMAS,November,3231.9,Copper
THOMAS,December,1958.7,Copper
