short_name,month,quantity_tons,product
COMILU,September,4188.9,Copper
COMILU,October,4051,Copper
COMILU,November,2225.1,Copper
COMILU,December,1946.6,Copper
COMMUS,January,165.8,Cobalt
COMMUS,February,75.6,Cobalt
COMMUS,March,165.9,Cobalt
COMMUS,April,27.9,Cobalt
COMMUS,June,37.1,Cobalt
COMMUS,July,595.7,Cobalt
COMMUS,August,369.3,Cobalt
COMMUS,September,133.1,Cobalt
COMMUS,October,254.1,Cobalt
COMMUS,November,110.6,Cobalt
COMMUS,December,244.6,Cobalt
COMMUS,January,7295.5,Copper
COMMUS,February,7951.5,Copper
COMMUS,March,14531.7,Copper
COMMUS,April,10057.9,Copper
COMMUS,May,12555.6,Copper
COMMUS,June,11424.5,Copper
COMMUS,July,8770.9,Copper
COMMUS,August,12397.9,Copper
COMMUS,September,10446.7,Copper
COMMUS,October,8576.5,Copper
COMMUS,November,14355.8,Copper
COMMUS,December,10786.4,Copper
CONGO JIN JU,January,2137.2,Copper
CONGO JIN JU,February,1429.2,Copper
CONGO JIN JU,March,1195.9,Copper
CONGO JIN JU,April,1063.4,Copper
CONGO JIN JU,May,1716.8,Copper
CONGO JIN JU,June,1530,Copper
CONGO JIN JU,July,1648.3,Copper
CONGO JIN JU,August,1092.7,Copper
CONGO JIN JU,September,2089.1,Copper
CONGO JIN JU,October,1512.2,Copper
CONGO JIN JU,November,1493.5,Copper
CONGO JIN JU,December,795.5,Copper
CONGO MOON MINING,April,3410.6,Copper
DIVINE LAND MINING SARL,January,738.5,Copper
DIVINE LAND MINING SARL,February,912.5,Copper
DIVINE LAND MINING SARL,March,1096,Copper
DIVINE LAND MINING SARL,April,1230,Copper
DIVINE LAND MINING SARL,May,403,Copper
DIVINE LAND MINING SARL,June,887,Copper
DIVINE LAND MINING SARL,July,1435,Copper
DIVINE LAND MINING SARL,August,3418.1,Copper
DIVINE LAND MINING SARL,September,809,Copper
DIVINE LAND MINING SARL,October,2028.3,Copper
DIVINE LAND MINING SARL,November,724,Copper
DIVINE LAND MINING SARL,December,1182.6,Copper
EVERBRIGHT MINING,March,46.3,Copper
EVERBRIGHT MINING,April,1959.1,Copper
EVERBRIGHT MINING,July,1144.3,Copper
EVERBRIGHT MINING,August,3628.8,Copper
EXCELLEN MINERALS SARL,September,141,Cobalt
EXCELLEN MINERALS SARL,October,104.7,Cobalt
EXCELLEN MINERALS SARL,November,132.8,Cobalt
EXCELLEN MINERALS SARL,December,103.2,Cobalt
EXCELLEN MINERALS SARL,January,3174.8,Copper
EXCELLEN MINERALS SARL,February,2871.9,Copper
EXCELLEN MINERALS SARL,March,3556.6,Copper
EXCELLEN MINERALS SARL,April,2603.5,Copper
EXCELLEN MINERALS SARL,May,3446.4,Copper
EXCELLEN MINERALS SARL,June,1758.9,Copper
EXCELLEN MINERALS SARL,July,4564.7,Copper
EXCELLEN MINERALS SARL,August,2628.9,Copper
EXCELLEN MINERALS SARL,September,3258.9,Copper
EXCELLEN MINERALS SARL,October,2531.9,Copper
EXCELLEN MINERALS SARL,November,2257.8,Copper
EXCELLEN MINERALS SARL,December,2645.7,Copper
FRONTIER,January,9022.5,Copper
FRONTIER,February,6400.5,Copper
FRONTIER,March,10350.6,Copper
FRONTIER,April,8854.9,Copper
FRONTIER,May,8433.3,Copper
FRONTIER,June,8533.9,Copper
FRONTIER,July,9396.5,Copper
FRONTIER,August,9276.6,Copper
FRONTIER,September,7759.8,Copper
FRONTIER,October,10272,Copper
FRONTIER,November,4148,Copper
FRONTIER,December,10755.6,Copper
GCM,January,272.1,Copper
GCM,February,847.6,Copper
GCM,March,262.3,Copper
GCM,April,571,Copper
GCM,May,284,Copper
GCM,June,1205.8,Copper
GCM,July,204,Copper
GCM,August,369.1,Copper
GCM,September,395.7,Copper
GCM,October,392.5,Copper
GCM,November,276.1,Copper
GCM,December,1239,Copper
GOLDEN AFRICAN,January,501,Copper
GOLDEN AFRICAN,February,847,Copper
GOLDEN AFRICAN,March,730,Copper
GOLDEN AFRICAN,April,635,Copper
GOLDEN AFRICAN,May,928,Copper
GOLDEN AFRICAN,June,563,Copper
GOLDEN AFRICAN,July,916,Copper
GOLDEN AFRICAN,August,554,Copper
GOLDEN AFRICAN,September,1061,Copper
GOLDEN AFRICAN,October,1028,Copper
GOLDEN AFRICAN,November,972,Copper
GOLDEN AFRICAN,December,554,Copper
HMC,January,335.7,Cobalt
HMC,February,165.8,Cobalt
HMC,March,120.2,Cobalt
HMC,April,296.4,Cobalt
HMC,May,170.3,Cobalt
HMC,June,94.6,Cobalt
HMC,July,108.6,Cobalt
HMC,August,30.1,Cobalt
